id,indivfinfeel,immfeel
404,I am very confident that I can maintain my lifestyle,immigration is absolutely necessary for our country to thrive. It may be necessary to do stronger vetting in the future but with a country as large as ours with a small population like ours immigration is very welcome
405,"ok, cost of living increasing, salary not",son of hard working immigrant
406,,
407,,
408,Every penny counts when you live on a retirement income,We need to care for our own such as first nations before increasing immigration
409,"Not bad, but need to improve.",Canada should accept fewer immigrants and refugees.
410,"It is not great at all, but we will survive.","It is a good thing. Without immigration, I would neither live in Canada nor be Canadian - I like both."
411,STAYING  THE SAME AND NOT ABLE TO SAVE ENOUGH TO EVEN PUT A DOWN PAYMENT ON A HOUSE. THE GOVERMENT TODAY SEEMS TO BE PUTTING US BLUE COLLARED WORKERS CLOSER TO EXSTINCTION,TAKE CARE OF OUR OWN FIRST INSTEAD OF GIVING FREEBIES TO SOMEONE ELSE.
412,,
413,good,good
414,,
415,I'm ok overall it could be better,I think we should hold off with immigration until we get our own house in order
416,same,"EVERYONE NEEDS TO BE VETTED BEFORE ENTERING INTO CANADA. IT'S NOT SUPPOSE TO BE A FREE LOTTERY TO COME INTO CANADA VIA BORDER. EDUCATED, WEALTHY INDIVIDUALS WITH ASSETS ARE A PRIORITY. IT'S UP TO THE FEDERAL GOVERNMENT BUT LIKE I SAID. A PRIORITY TO KEEP INTELLECT HIGH IS IMPORTANT IN THE NATION. WE NEED ALSO TO KEEP A DIVERSE BROAD POPULATION"
417,"All party members are nothing but liars , suiting their own agenda and financial gains","I am for immigration ... but they must be vetted and have an education and be able to work and not just rely on the welfare system that the government is too outgoing on ... What about Canadians , seniors who are living in poverty and struggling to find jobs ..."
418,it could be better,most contribute positively
419,"comfortable, good pension",good idea
420,surviving,helpful
421,Should last thru' retirement,It should be stopped right now
422,comfortable,okay
423,I struggle to meet my payments,love to see them come as long as they can provide for themselves
424,It's very tight to live based on OAS.,Canada is overall  considered one of the best place to live. I've no blaming on deciding to immigrate to Canada.
425,,
426,.,.
427,"More money is always nice, but I am able to make ends meet on my current income.","Being an immigrant myself, I believe that any law abiding individual minority should have a right to live in this country"
428,Financially secure with income from several sources,"Immigrants are a gift, they bring new culture, have different view points and are willing to challenge themselves to grow.  (My family can to Canada in the early 1700's)"
429,ok,It should be restricted in accordance with the availability of infrastructure/services to support immigrants.
430,"I wish it would improve, to pay off debt.",
431,It could be better if I was given better opportunities as a person getting into her forties ... Having things set up so I get to do What I want to do and making good money at it also.,Letting the public in more on what is happening especially if we are going to bring in 25000 at a time...
432,,
433,"It would be nice to have lower bills but I don't really think it is possible if we want to change over to environmentally friendly source of energy, etc.  So bills are higher than they used to but that's a way of life.",It is the way of life in Canada.  If we did not have immigration there wouldn't be that many people living here.  Immigrants are a huge part and success of this country.
